shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
A1,-34.6091840918,-58.3835148811,116,8.5736
A1,-34.6090074853,-58.3807253838,117,8.8346
A1,-34.608848539,-58.3783757687,118,9.0544
A1,-34.6086807621,-58.3760154247,119,9.2753
A1,-34.6085041545,-58.3735477924,120,9.5063
A1,-34.6084776633,-58.37313205,121,9.5452
A1,-34.6084798709,-58.372567445,122,9.5979
A1,-34.6085394761,-58.3720564842,123,9.6459
A1,-34.6088132176,-58.3708655834,124,9.76
B0,-34.6029673149,-58.3699214458,1,0
B0,-34.6032410748,-58.3738052845,2,0.3667
B0,-34.603364708,-58.3760476112,3,0.5783
B0,-34.6035501575,-58.3791160583,4,0.8678
B0,-34.6036561284,-58.3804893494,5,0.9976
B0,-34.603683725,-58.3809144795,6,1.0377
B0,-34.6036892443,-58.3813610673,7,1.0798
B0,-34.6037223602,-58.381999433,8,1.14
B0,-34.6041683194,-58.3888685703,9,1.7884
B0,-34.604459737,-58.3919906616,10,2.0837
B0,-34.6044773987,-58.3940076828,11,2.2737
B0,-34.6045657068,-58.397462368,12,2.5992
B0,-34.6047511536,-58.4036207199,13,3.1796
B0,-34.604689338,-58.4040927887,14,3.2244
B0,-34.6045833684,-58.4054124355,15,3.3491
B0,-34.6044950603,-58.406496048,16,3.4515
B0,-34.6041241651,-58.4089207649,17,3.6826
B0,-34.6040093639,-58.4103691578,18,3.8194
B0,-34.604194812,-58.4132766724,19,4.0939
B0,-34.6038504081,-58.4156262875,20,4.3175
B0,-34.6035236647,-58.4173536301,21,4.4831
B0,-34.602870174,-58.4240913391,22,5.1207
B0,-34.6020400568,-58.4322237968,23,5.8908
B0,-34.5998322579,-58.4388756752,24,6.5509
B0,-34.5976244003,-58.4412145615,25,6.8539
B0,-34.5950455484,-58.4439826012,26,7.2102
B0,-34.5916893882,-58.4476733208,27,7.6801
B0,-34.5901856962,-58.4493201971,28,7.8902
B0,-34.589208613,-58.4505084157,29,8.0351
B0,-34.5888586267,-58.4510850906,30,8.0986
B0,-34.5884015447,-58.4519514441,31,8.1909
B0,-34.5880327858,-58.4528660774,32,8.2838
B0,-34.5871627733,-58.4552961588,33,8.5269
B0,-34.5870302833,-58.4557682276,34,8.5731
B0,-34.5864274511,-58.457621634,35,8.7567
B0,-34.5857362865,-58.4596252441,36,8.9563
B0,-34.5852239819,-58.4620285034,37,9.1878
B0,-34.585034075,-58.4634447098,38,9.3224
B0,-34.5846459792,-58.4647177532,39,9.4477
B0,-34.5839796425,-58.4666774422,40,9.6427
B0,-34.5831813565,-58.469196707,41,9.8916
B0,-34.5827402532,-58.470656164,42,10.0352
B0,-34.5822436642,-58.4720296226,43,10.1728
B0,-34.5818309879,-58.4733816236,44,10.3059
B0,-34.5816686772,-58.4739509225,45,10.3617
B0,-34.5799682604,-58.4754663706,46,10.5762
B0,-34.5791047887,-58.4789747,47,10.9166
B0,-34.5784533143,-58.4800744057,48,11.037
B0,-34.577444071,-58.4814745188,49,11.1995
B0,-34.5766170124,-58.4827807546,50,11.3452
B0,-34.5755646816,-58.4843015671,51,11.5194
B0,-34.5746945386,-58.4858036041,52,11.6829
B0,-34.5739524806,-58.4868013859,53,11.8
B1,-34.5739524806,-58.4868013859,1,0
B1,-34.5746945386,-58.4858036041,2,0.1171
B1,-34.5755646816,-58.4843015671,3,0.2806
B1,-34.5766170124,-58.4827807546,4,0.4548
B1,-34.577444071,-58.4814745188,5,0.6005
B1,-34.5784533143,-58.4800744057,6,0.763
B1,-34.5791047887,-58.4789747,7,0.8834
B1,-34.5799682604,-58.4754663706,8,1.2238
B1,-34.5816686772,-58.4739509225,9,1.4383
B1,-34.5818309879,-58.4733816236,10,1.4941
B1,-34.5822436642,-58.4720296226,11,1.6272
B1,-34.5827402532,-58.470656164,12,1.7648
B1,-34.5831813565,-58.469196707,13,1.9084
B1,-34.5839796425,-58.4666774422,14,2.1573
B1,-34.5846459792,-58.4647177532,15,2.3523
B1,-34.585034075,-58.4634447098,16,2.4776
B1,-34.5852239819,-58.4620285034,17,2.6122
B1,-34.5857362865,-58.4596252441,18,2.8437
B1,-34.5864274511,-58.457621634,19,3.0433
B1,-34.5870302833,-58.4557682276,20,3.2269
B1,-34.5871627733,-58.4552961588,21,3.2731
B1,-34.5880327858,-58.4528660774,22,3.5162
B1,-34.5884015447,-58.4519514441,23,3.6091
B1,-34.5888586267,-58.4510850906,24,3.7014
B1,-34.589208613,-58.4505084157,25,3.7649
B1,-34.5901856962,-58.4493201971,26,3.9098
B1,-34.5916893882,-58.4476733208,27,4.1199
B1,-34.5950455484,-58.4439826012,28,4.5898
B1,-34.5976244003,-58.4412145615,29,4.9461
B1,-34.5998322579,-58.4388756752,30,5.2491
B1,-34.6020400568,-58.4322237968,31,5.9092
B1,-34.602870174,-58.4240913391,32,6.6793
B1,-34.6035236647,-58.4173536301,33,7.3169
B1,-34.6038504081,-58.4156262875,34,7.4825
B1,-34.604194812,-58.4132766724,35,7.7061
B1,-34.6040093639,-58.4103691578,36,7.9806
B1,-34.6041241651,-58.4089207649,37,8.1174
B1,-34.6044950603,-58.406496048,38,8.3485
B1,-34.6045833684,-58.4054124355,39,8.4509
B1,-34.604689338,-58.4040927887,40,8.5756
B1,-34.6047511536,-58.4036207199,41,8.6204
B1,-34.6045657068,-58.397462368,42,9.2008
B1,-34.6044773987,-58.3940076828,43,9.5263
B1,-34.604459737,-58.3919906616,44,9.7163
B1,-34.6041683194,-58.3888685703,45,10.0116
B1,-34.6037223602,-58.381999433,46,10.66
B1,-34.6036892443,-58.3813610673,47,10.7202
B1,-34.603683725,-58.3809144795,48,10.7623
B1,-34.6036561284,-58.3804893494,49,10.8024
B1,-34.6035501575,-58.3791160583,50,10.9322
B1,-34.603364708,-58.3760476112,51,11.2217
B1,-34.6032410748,-58.3738052845,52,11.4333
B1,-34.6029673149,-58.3699214458,53,11.8
C0,-34.5915039123,-58.3744704723,1,0
C0,-34.5932879972,-58.3759510517,2,0.2507
C0,-34.5944626461,-58.376865685,3,0.4117
C0,-34.5948799515,-58.3772747219,4,0.4749
C0,-34.5952530959,-58.3776301146,5,0.5307
C0,-34.5955092177,-58.3778634667,6,0.5682
C0,-34.5958845672,-58.3781772852,7,0.6211
C0,-34.5963703111,-58.3784294128,8,0.6803
C0,-34.5976729738,-58.3783811331,9,0.8213
C0,-34.5989402905,-58.3782738447,10,0.9589
C0,-34.6002120035,-58.3782309294,11,1.0966
C0,-34.6016073329,-58.3781558275,12,1.2478
C0,-34.6027377091,-58.3781075478,13,1.3701
C0,-34.6032154098,-58.3781011775,14,1.4218
C0,-34.6035959679,-58.3780626208,15,1.4632
C0,-34.6039014617,-58.3780830726,16,1.4963
C0,-34.6042069544,-58.3781088889,17,1.5295
C0,-34.6044956122,-58.3781819791,18,1.5617
C0,-34.6046024098,-58.378242664,19,1.575
C0,-34.604689338,-58.3783569932,20,1.5905
C0,-34.6047365276,-58.3784579113,21,1.6026
C0,-34.6047682633,-58.3786017448,22,1.6185
C0,-34.6047875806,-58.378932327,23,1.6543
C0,-34.6048173845,-58.3794003725,24,1.705
C0,-34.6048398754,-58.3800081443,25,1.7708
C0,-34.6050124894,-58.3803262375,26,1.81
C0,-34.6051766862,-58.3805171773,27,1.8372
C0,-34.605469756,-58.3806683868,28,1.8729
C0,-34.6057953879,-58.3807991445,29,1.9109
C0,-34.6061552373,-58.3808460832,30,1.9501
C0,-34.6083407921,-58.3807146549,31,2.187
C0,-34.6118419751,-58.3805537224,32,2.5661
C0,-34.6145969006,-58.3804035187,33,2.8645
C0,-34.6167866479,-58.3802747726,34,3.1018
C0,-34.6194001417,-58.3801674843,35,3.3847
C0,-34.6220841847,-58.3799958229,36,3.6757
C0,-34.6226028837,-58.3799636364,37,3.7319
C0,-34.6229361737,-58.3799260855,38,3.7682
C0,-34.6234460385,-58.3798677474,39,3.8237
C0,-34.6238157438,-58.3800799772,40,3.8698
C0,-34.6241368894,-58.3804048598,41,3.9192
C0,-34.6244458943,-58.380690515,42,3.9647
C0,-34.6248784992,-58.3810096979,43,4.0229
C0,-34.6255053309,-58.3813744783,44,4.1013
C0,-34.6257746022,-58.3814549446,45,4.1317
C0,-34.626116708,-58.3815059066,46,4.1691
C0,-34.6266320711,-58.38148579,47,4.2249
C0,-34.6270150047,-58.3814817667,48,4.2664
C0,-34.6276020927,-58.3814442158,49,4.33
C1,-34.6276020927,-58.3814442158,1,0
C1,-34.6270150047,-58.3814817667,2,0.0636
C1,-34.6266320711,-58.38148579,3,0.1051
C1,-34.626116708,-58.3815059066,4,0.1609
C1,-34.6257746022,-58.3814549446,5,0.1983
C1,-34.6255053309,-58.3813744783,6,0.2287
C1,-34.6248784992,-58.3810096979,7,0.3071
C1,-34.6244458943,-58.380690515,8,0.3653
C1,-34.6241368894,-58.3804048598,9,0.4108
C1,-34.6238157438,-58.3800799772,10,0.4602
C1,-34.6234460385,-58.3798677474,11,0.5063
C1,-34.6229361737,-58.3799260855,12,0.5618
C1,-34.6226028837,-58.3799636364,13,0.5981
C1,-34.6220841847,-58.3799958229,14,0.6543
C1,-34.6194001417,-58.3801674843,15,0.9453
C1,-34.6167866479,-58.3802747726,16,1.2282
C1,-34.6145969006,-58.3804035187,17,1.4655
C1,-34.6118419751,-58.3805537224,18,1.7639
C1,-34.6083407921,-58.3807146549,19,2.143
C1,-34.6061552373,-58.3808460832,20,2.3799
C1,-34.6057953879,-58.3807991445,21,2.4191
C1,-34.605469756,-58.3806683868,22,2.4571
C1,-34.6051766862,-58.3805171773,23,2.4928
C1,-34.6050124894,-58.3803262375,24,2.52
C1,-34.6048398754,-58.3800081443,25,2.5592
C1,-34.6048173845,-58.3794003725,26,2.625
C1,-34.6047875806,-58.378932327,27,2.6757
C1,-34.6047682633,-58.3786017448,28,2.7115
C1,-34.6047365276,-58.3784579113,29,2.7274
C1,-34.604689338,-58.3783569932,30,2.7395
C1,-34.6046024098,-58.378242664,31,2.755
C1,-34.6044956122,-58.3781819791,32,2.7683
C1,-34.6042069544,-58.3781088889,33,2.8005
C1,-34.6039014617,-58.3780830726,34,2.8337
C1,-34.6035959679,-58.3780626208,35,2.8668
C1,-34.6032154098,-58.3781011775,36,2.9082
C1,-34.6027377091,-58.3781075478,37,2.9599
C1,-34.6016073329,-58.3781558275,38,3.0822
C1,-34.6002120035,-58.3782309294,39,3.2334
C1,-34.5989402905,-58.3782738447,40,3.371
C1,-34.5976729738,-58.3783811331,41,3.5086
C1,-34.5963703111,-58.3784294128,42,3.6496
C1,-34.5958845672,-58.3781772852,43,3.7088
C1,-34.5955092177,-58.3778634667,44,3.7617
C1,-34.5952530959,-58.3776301146,45,3.7992
C1,-34.5948799515,-58.3772747219,46,3.855
C1,-34.5944626461,-58.376865685,47,3.9182
C1,-34.5932879972,-58.3759510517,48,4.0792
C1,-34.5915039123,-58.3744704723,49,4.33
D0,-34.607850703,-58.3737784624,1,0
D0,-34.6076122802,-58.3742800355,2,0.0542
D0,-34.6070736189,-58.3753623068,3,0.1722
D0,-34.6064731398,-58.376455307,4,0.2939
D0,-34.6058196723,-58.3777856827,5,0.4386
D0,-34.6043935058,-58.3803096414,6,0.7216
D0,-34.6039839752,-58.3809587359,7,0.7965
D0,-34.6034176936,-58.3823347092,8,0.9417
D0,-34.6026052439,-58.3837723732,9,1.1029
D0,-34.6021769384,-58.3840620518,10,1.1534
D0,-34.6016249951,-58.3845663071,11,1.2264
D0,-34.6010035026,-58.3850973845,12,1.3062
D0,-34.6006955143,-58.3855319023,13,1.3582
D0,-34.6004140186,-58.3859717846,14,1.4091
D0,-34.6001546002,-58.3863902092,15,1.4572
D0,-34.5998322579,-58.3869481087,16,1.5201
D0,-34.5996468002,-58.3874684572,17,1.574
D0,-34.5995054987,-58.3880746365,18,1.6348
D0,-34.5994348479,-58.389018774,19,1.7272
D0,-34.5994790047,-58.3899307251,20,1.8163
D0,-34.5996909568,-58.3940720558,21,2.2211
D0,-34.5997318017,-58.3971820772,22,2.5247
D0,-34.5997593996,-58.3987364173,23,2.6764
D0,-34.5996208581,-58.3993459493,24,2.7374
D0,-34.5993763401,-58.3999983966,25,2.8054
D0,-34.5991207822,-58.4005596489,26,2.8656
D0,-34.5987901565,-58.4010136127,27,2.9204
D0,-34.5980748081,-58.401517868,28,3.0059
D0,-34.5973241272,-58.4020113945,29,3.0936
D0,-34.5965911028,-58.4024432302,30,3.1766
D0,-34.5959287259,-58.4028106928,31,3.2506
D0,-34.5952221846,-58.4031271935,32,3.3261
D0,-34.5950234688,-58.4032210708,33,3.3476
D0,-34.5947805933,-58.40332,34,3.3732
D0,-34.5945134294,-58.4034302831,35,3.4014
D0,-34.5942595125,-58.4035885334,36,3.4306
D0,-34.5937207645,-58.4043931961,37,3.5251
D0,-34.5931908451,-58.405251503,38,3.6236
D0,-34.5926962505,-58.4059810638,39,3.7096
D0,-34.5890396924,-58.4101009369,40,4.2473
D0,-34.5888100481,-58.4104013443,41,4.2842
D0,-34.5873438427,-58.4125900269,42,4.5414
D0,-34.5855066331,-58.4153366089,43,4.8639
D0,-34.5839167074,-58.4177398682,44,5.1452
D0,-34.5821147549,-58.4203362465,45,5.4537
D0,-34.581469929,-58.4212911129,46,5.5661
D0,-34.5808869315,-58.4221386909,47,5.6665
D0,-34.5801095951,-58.4232866764,48,5.8019
D0,-34.5793455016,-58.4243220091,49,5.9275
D0,-34.5789700774,-58.4247632325,50,5.984
D0,-34.5787757395,-58.4250167012,51,6.0152
D0,-34.5785372333,-58.4255129099,52,6.0689
D0,-34.5782236407,-58.4263819456,53,6.1591
D0,-34.5777157066,-58.4279966354,54,6.3243
D0,-34.5772386874,-58.4294342995,55,6.4722
D0,-34.5766026575,-58.4317088127,56,6.7027
D0,-34.5758782842,-58.4331679344,57,6.8617
D0,-34.5751472791,-58.434881866,58,7.0436
D0,-34.5736874582,-58.4378671646,59,7.368
D0,-34.5711078633,-58.4425234795,60,7.8876
D0,-34.5699417188,-58.4449481964,61,8.1502
D0,-34.5661074617,-58.4523296356,62,8.9621
D0,-34.565612706,-58.4531664848,63,9.057
D0,-34.5649235771,-58.4541964531,64,9.178
D0,-34.562025639,-58.4566855431,65,9.5509
D0,-34.5582440313,-58.4599685669,66,10.0397
D0,-34.5555579252,-58.4625005722,67,10.4
D1,-34.5555579252,-58.4625005722,1,0
D1,-34.5582440313,-58.4599685669,2,0.3603
D1,-34.562025639,-58.4566855431,3,0.8491
D1,-34.5649235771,-58.4541964531,4,1.222
D1,-34.565612706,-58.4531664848,5,1.343
D1,-34.5661074617,-58.4523296356,6,1.4379
D1,-34.5699417188,-58.4449481964,7,2.2498
D1,-34.5711078633,-58.4425234795,8,2.5124
D1,-34.5736874582,-58.4378671646,9,3.032
D1,-34.5751472791,-58.434881866,10,3.3564
D1,-34.5758782842,-58.4331679344,11,3.5383
D1,-34.5766026575,-58.4317088127,12,3.6973
D1,-34.5772386874,-58.4294342995,13,3.9278
D1,-34.5777157066,-58.4279966354,14,4.0757
D1,-34.5782236407,-58.4263819456,15,4.2409
D1,-34.5785372333,-58.4255129099,16,4.3311
D1,-34.5787757395,-58.4250167012,17,4.3848
D1,-34.5789700774,-58.4247632325,18,4.416
D1,-34.5793455016,-58.4243220091,19,4.4725
D1,-34.5801095951,-58.4232866764,20,4.5981
D1,-34.5808869315,-58.4221386909,21,4.7335
D1,-34.581469929,-58.4212911129,22,4.8339
D1,-34.5821147549,-58.4203362465,23,4.9463
